epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1214.62,0.78314,0.63625,0.93953,0.99702,1,0.995,0.79503,0.89877,0.70234,1.08082,0.000812,0.000812,0.000812
62,1234.95,0.81796,0.6078,0.94447,0.9969,1,0.995,0.79417,0.82171,0.70242,1.02262,0.0007922,0.0007922,0.0007922
63,1254.94,0.88132,0.60725,0.96456,0.99682,1,0.995,0.80029,0.75577,0.65014,0.96984,0.0007724,0.0007724,0.0007724
64,1274.91,0.92354,0.6553,0.97714,0.99687,1,0.995,0.80832,0.73216,0.64673,0.93685,0.0007526,0.0007526,0.0007526
65,1294.93,0.84789,0.64065,0.95808,0.99689,1,0.995,0.79834,0.74926,0.60984,0.93673,0.0007328,0.0007328,0.0007328
66,1314.68,0.90624,0.66838,0.98213,0.99688,1,0.995,0.77074,0.82825,0.64943,0.98605,0.000713,0.000713,0.000713
67,1334.53,0.90901,0.61453,0.97819,0.99695,1,0.995,0.76402,0.79901,0.65357,0.96792,0.0006932,0.0006932,0.0006932
68,1354.15,0.86263,0.63322,0.99065,0.9969,1,0.995,0.78059,0.76398,0.65237,0.93158,0.0006734,0.0006734,0.0006734
69,1373.89,0.86819,0.60847,0.98669,0.99693,1,0.995,0.77019,0.76888,0.59288,0.9384,0.0006536,0.0006536,0.0006536
70,1393.63,0.80311,0.59007,0.9679,0.99696,1,0.995,0.77085,0.78905,0.59864,0.95158,0.0006338,0.0006338,0.0006338
71,1413.39,0.77864,0.59665,0.95083,0.99708,1,0.995,0.77645,0.80908,0.58327,0.98431,0.000614,0.000614,0.000614
72,1433.08,0.76335,0.61705,0.95243,0.99707,1,0.995,0.7865,0.81807,0.59555,1.00201,0.0005942,0.0005942,0.0005942
73,1452.76,0.84606,0.57861,0.9514,0.99696,1,0.995,0.77973,0.83841,0.58135,1.01448,0.0005744,0.0005744,0.0005744
74,1472.47,0.78665,0.64419,0.9477,0.99684,1,0.995,0.77961,0.8524,0.5925,1.01361,0.0005546,0.0005546,0.0005546
75,1492.47,0.78832,0.59299,0.93993,0.99662,1,0.995,0.78999,0.86219,0.59793,1.0136,0.0005348,0.0005348,0.0005348
76,1512.14,0.78603,0.57593,0.93175,0.99664,1,0.995,0.77933,0.86194,0.5973,1.0073,0.000515,0.000515,0.000515
77,1532,0.82584,0.57009,0.94821,0.99678,1,0.995,0.782,0.85984,0.60435,0.99997,0.0004952,0.0004952,0.0004952
78,1551.57,0.81367,0.60661,0.91283,0.99697,1,0.995,0.78864,0.8491,0.5952,0.99313,0.0004754,0.0004754,0.0004754
79,1571.32,0.7514,0.53578,0.91079,0.99704,1,0.995,0.78058,0.82886,0.57512,0.9803,0.0004556,0.0004556,0.0004556
